from,to
1070CE,462/1070
1071CE,463/1071
1072CE,464/1072
1073CE,465/1073
1074CE,466/1074
1075CE,467/1075
1076CE,468/1076
1077CE,469/1077
1078CE,470/1078
1079CE,471/1079
1080CE,472/1080
1081CE,473/1081
1082CE,474/1082
1083CE,475/1083
1084CE,476/1084
1085CE,477/1085
1086CE,478/1086
1087CE,479/1087
1088CE,480/1088
1089CE,481/1089
1090CE,482/1090
1091CE,483/1091
1092CE,484/1092
1093CE,485/1093
1094CE,486/1094
1095CE,487/1095
1096CE,488/1096
1097CE,489/1097
1098CE,490/1098
1099CE,491/1099
1100CE,492/1100
1101CE,493/1101
1102CE,495/1102
1103CE,496/1103
1104CE,497/1104
1105CE,498/1105
1106CE,499/1106
1107CE,500/1107
1108CE,501/1108
1109CE,502/1109
1110CE,503/1110
1111CE,504/1111
1112CE,505/1112
1113CE,506/1113
1114CE,507/1114
1115CE,508/1115
1116CE,509/1116
1117CE,510/1117
1118CE,511/1118
1119CE,512/1119
1120CE,513/1120
1121CE,514/1121
1122CE,515/1122
1123CE,516/1123
1124CE,517/1124
1125CE,518/1125
1126CE,519/1126
1127CE,520/1127
1128CE,521/1128
1129CE,522/1129
1130CE,523/1130
1131CE,524/1131
1132CE,525/1132
1133CE,526/1133
1134CE,528/1134
1135CE,529/1135
1136CE,530/1136
1137CE,531/1137
1138CE,532/1138
1139CE,533/1139
1140CE,534/1140
1141CE,535/1141
1142CE,536/1142
1143CE,537/1143
1144CE,538/1144
1145CE,539/1145
1146CE,540/1146
1147CE,541/1147
1148CE,542/1148
1149CE,543/1149
1150CE,544/1150
1151CE,545/1151
1152CE,546/1152
1153CE,547/1153
1154CE,548/1154
1155CE,549/1155
1156CE,550/1156
1157CE,551/1157
1158CE,552/1158
1159CE,553/1159
1160CE,554/1160
1161CE,555/1161
1162CE,556/1162
1163CE,557/1163
1164CE,558/1164
1165CE,559/1165
1166CE,561/1166
1167CE,562/1167
1168CE,563/1168
1169CE,564/1169
1170CE,565/1170
1171CE,566/1171
1172CE,567/1172
1173CE,568/1173
1174CE,569/1174
1175CE,570/1175
1176CE,571/1176
1177CE,572/1177
1178CE,573/1178
1179CE,574/1179
1180CE,575/1180
1181CE,576/1181
1182CE,577/1182
1183CE,578/1183
1184CE,579/1184
1185CE,580/1185
1186CE,581/1186
1187CE,582/1187
1188CE,583/1188
1189CE,584/1189
1190CE,585/1190
1191CE,586/1191
1192CE,587/1192
1193CE,588/1193
1194CE,589/1194
1195CE,590/1195
1196CE,591/1196
1197CE,592/1197
1198CE,594/1198
1199CE,595/1199
1200CE,596/1200
1201CE,597/1201
1202CE,598/1202
1203CE,599/1203
1204CE,600/1204
1205CE,601/1205
1206CE,602/1206
1207CE,603/1207
1208CE,604/1208
1209CE,605/1209
1210CE,606/1210
1211CE,607/1211
1212CE,608/1212
1213CE,609/1213
1214CE,610/1214
1215CE,611/1215
1216CE,612/1216
1217CE,613/1217
1218CE,614/1218
1219CE,615/1219
1220CE,616/1220
1221CE,617/1221
1222CE,618/1222
1223CE,619/1223
1224CE,620/1224
1225CE,621/1225
1226CE,622/1226
1227CE,623/1227
1228CE,624/1228
1229CE,625/1229
1230CE,627/1230
1231CE,628/1231
1232CE,629/1232
1233CE,630/1233
1234CE,631/1234
1235CE,632/1235
1236CE,633/1236
1237CE,634/1237
1238CE,635/1238
1239CE,636/1239
1240CE,637/1240
1241CE,638/1241
1242CE,639/1242
1243CE,640/1243
1244CE,641/1244
1245CE,642/1245
1246CE,643/1246
1247CE,644/1247
1248CE,645/1248
1249CE,646/1249
1250CE,647/1250
1251CE,648/1251
1252CE,649/1252
1253CE,650/1253
1254CE,651/1254
1255CE,652/1255
1256CE,653/1256
1257CE,654/1257
1258CE,655/1258
1259CE,656/1259
1260CE,657/1260
1261CE,658/1261
1262CE,660/1262
1263CE,661/1263
1264CE,662/1264
1265CE,663/1265
1266CE,664/1266
1267CE,665/1267
1268CE,666/1268
1269CE,667/1269
1270CE,668/1270
1271CE,669/1271
1272CE,670/1272
1273CE,671/1273
1274CE,672/1274
1275CE,673/1275
1276CE,674/1276
1277CE,675/1277
1278CE,676/1278
1279CE,677/1279
1280CE,678/1280
1281CE,679/1281
1282CE,680/1282
1283CE,681/1283
1284CE,682/1284
1285CE,683/1285
1286CE,684/1286
1287CE,685/1287
1288CE,686/1288
1289CE,687/1289
1290CE,688/1290
1291CE,689/1291
1292CE,690/1292
1293CE,691/1293
1294CE,693/1294
1295CE,694/1295
1296CE,695/1296
1297CE,696/1297
1298CE,697/1298
1299CE,698/1299
1300CE,699/1300
1301CE,700/1301
1302CE,701/1302
1303CE,702/1303
1304CE,703/1304
1305CE,704/1305
1306CE,705/1306
1307CE,706/1307
1308CE,707/1308
1309CE,708/1309
1310CE,709/1310
1311CE,710/1311
1312CE,711/1312
1313CE,712/1313
1314CE,713/1314
1315CE,714/1315
1316CE,715/1316
1317CE,716/1317
1318CE,717/1318
1319CE,718/1319
1320CE,719/1320
1321CE,720/1321
1322CE,721/1322
1323CE,722/1323
1324CE,723/1324
1325CE,724/1325
1326CE,726/1326
1327CE,727/1327
1328CE,728/1328
1329CE,729/1329
1330CE,730/1330
1331CE,731/1331
1332CE,732/1332
1333CE,733/1333
1334CE,734/1334
1335CE,735/1335
1336CE,736/1336
1337CE,737/1337
1338CE,738/1338
1339CE,739/1339
1340CE,740/1340
1341CE,741/1341
1342CE,742/1342
1343CE,743/1343
1344CE,744/1344
1345CE,745/1345
1346CE,746/1346
1347CE,747/1347
1348CE,748/1348
1349CE,749/1349
1350CE,750/1350
1351CE,751/1351
1352CE,752/1352
1353CE,753/1353
1354CE,754/1354
1355CE,755/1355
1356CE,756/1356
1357CE,757/1357
1358CE,759/1358
1359CE,760/1359
1360CE,761/1360
1361CE,762/1361
1362CE,763/1362
1363CE,764/1363
1364CE,765/1364
1365CE,766/1365
1366CE,767/1366
1367CE,768/1367
1368CE,769/1368
1369CE,770/1369
1370CE,771/1370
1371CE,772/1371
1372CE,773/1372
1373CE,774/1373
1374CE,775/1374
1375CE,776/1375
1376CE,777/1376
1377CE,778/1377
1378CE,779/1378
1379CE,780/1379
1380CE,781/1380
1381CE,782/1381
1382CE,783/1382
1383CE,784/1383
1384CE,785/1384
1385CE,786/1385
1386CE,787/1386
1387CE,788/1387
1388CE,789/1388
1389CE,790/1389
1390CE,792/1390
1391CE,793/1391
1392CE,794/1392
1393CE,795/1393
1394CE,796/1394
1395CE,797/1395
1396CE,798/1396
1397CE,799/1397
1398CE,800/1398
1399CE,801/1399
1400CE,802/1400
1401CE,803/1401
1402CE,804/1402
1403CE,805/1403
1404CE,806/1404
1405CE,807/1405
1406CE,808/1406
1407CE,809/1407
1408CE,810/1408
1409CE,811/1409
1410CE,812/1410
1411CE,813/1411
1412CE,814/1412
1413CE,815/1413
1414CE,816/1414
1415CE,817/1415
1416CE,818/1416
1417CE,819/1417
1418CE,820/1418
1419CE,821/1419
1420CE,822/1420
1421CE,823/1421
1422CE,825/1422
1423CE,826/1423
1424CE,827/1424
1425CE,828/1425
1426CE,829/1426
1427CE,830/1427
1428CE,831/1428
1429CE,832/1429
1430CE,833/1430
1431CE,834/1431
1432CE,835/1432
1433CE,836/1433
1434CE,837/1434
1435CE,838/1435
1436CE,839/1436
1437CE,840/1437
1438CE,841/1438
1439CE,842/1439
1440CE,843/1440
1441CE,844/1441
1442CE,845/1442
1443CE,846/1443
1444CE,847/1444
1445CE,848/1445
1446CE,849/1446
1447CE,850/1447
1448CE,851/1448
1449CE,852/1449
1450CE,853/1450
1451CE,854/1451
1452CE,855/1452
1453CE,856/1453
1454CE,858/1454
1455CE,859/1455
1456CE,860/1456
1457CE,861/1457
1458CE,862/1458
1459CE,863/1459
1460CE,864/1460
1461CE,865/1461
1462CE,866/1462
1463CE,867/1463
1464CE,868/1464
1465CE,869/1465
1466CE,870/1466
1467CE,871/1467
1468CE,872/1468
1469CE,873/1469
1470CE,874/1470
1471CE,875/1471
1472CE,876/1472
1473CE,877/1473
1474CE,878/1474
1475CE,879/1475
1476CE,880/1476
1477CE,881/1477
1478CE,882/1478
1479CE,883/1479
1480CE,884/1480
1481CE,885/1481
1482CE,886/1482
1483CE,887/1483
1484CE,888/1484
1485CE,889/1485
1486CE,891/1486
1487CE,892/1487
1488CE,893/1488
1489CE,894/1489
1490CE,895/1490
1491CE,896/1491
1492CE,897/1492
1493CE,898/1493
1494CE,899/1494
1495CE,900/1495
1496CE,901/1496
1497CE,902/1497
1498CE,903/1498
1499CE,904/1499
1500CE,905/1500
1501CE,906/1501
1502CE,907/1502
1503CE,908/1503
1504CE,909/1504
1505CE,910/1505
1506CE,911/1506
1507CE,912/1507
1508CE,913/1508
1509CE,914/1509
1510CE,915/1510
1511CE,916/1511
1512CE,917/1512
1513CE,918/1513
1514CE,919/1514
1515CE,920/1515
1516CE,921/1516
1517CE,922/1517
1518CE,924/1518
1519CE,925/1519
1520CE,926/1520
1521CE,927/1521
1522CE,928/1522
1523CE,929/1523
1524CE,930/1524
1525CE,931/1525
1526CE,932/1526
1527CE,933/1527
1528CE,934/1528
1529CE,935/1529
1530CE,936/1530
1531CE,937/1531
1532CE,938/1532
1533CE,939/1533
1534CE,940/1534
1535CE,941/1535
1536CE,942/1536
1537CE,943/1537
1538CE,944/1538
1539CE,945/1539
1540CE,946/1540
1541CE,947/1541
1542CE,948/1542
1543CE,949/1543
1544CE,950/1544
1545CE,951/1545
1546CE,952/1546
1547CE,953/1547
1548CE,954/1548
1549CE,955/1549
1550CE,957/1550
1551CE,958/1551
1552CE,959/1552
1553CE,960/1553
1554CE,961/1554
1555CE,962/1555
1556CE,963/1556
1557CE,964/1557
1558CE,965/1558
1559CE,966/1559
1560CE,967/1560
1561CE,968/1561
1562CE,969/1562
1563CE,970/1563
1564CE,971/1564
1565CE,972/1565
1566CE,973/1566
1567CE,974/1567
1568CE,975/1568
1569CE,976/1569
1570CE,977/1570
1571CE,978/1571
1572CE,979/1572
1573CE,980/1573
1574CE,981/1574
1575CE,982/1575
1576CE,983/1576
1577CE,984/1577
1578CE,985/1578
1579CE,986/1579
1580CE,987/1580
1581CE,988/1581
1582CE,990/1582
1583CE,991/1583
1584CE,992/1584
1585CE,993/1585
1586CE,994/1586
1587CE,995/1587
1588CE,996/1588
1589CE,997/1589
1590CE,998/1590
1591CE,999/1591
1592CE,1000/1592
1593CE,1001/1593
1594CE,1002/1594
1595CE,1003/1595
1596CE,1004/1596
1597CE,1005/1597
1598CE,1006/1598
1599CE,1007/1599
1600CE,1008/1600
1601CE,1009/1601
1602CE,1010/1602
1603CE,1011/1603
1604CE,1012/1604
1605CE,1013/1605
1606CE,1014/1606
1607CE,1015/1607
1608CE,1016/1608
1609CE,1017/1609
1610CE,1018/1610
1611CE,1019/1611
1612CE,1020/1612
1613CE,1021/1613
1614CE,1023/1614
1615CE,1024/1615
1616CE,1025/1616
1617CE,1026/1617
1618CE,1027/1618
1619CE,1028/1619
1620CE,1029/1620
1621CE,1030/1621
1622CE,1031/1622
1623CE,1032/1623
1624CE,1033/1624
1625CE,1034/1625
1626CE,1035/1626
1627CE,1036/1627
1628CE,1037/1628
1629CE,1038/1629
1630CE,1039/1630
1631CE,1040/1631
1632CE,1041/1632
1633CE,1042/1633
1634CE,1043/1634
1635CE,1044/1635
1636CE,1045/1636
1637CE,1046/1637
1638CE,1047/1638
1639CE,1048/1639
1640CE,1049/1640
1641CE,1050/1641
1642CE,1051/1642
1643CE,1052/1643
1644CE,1053/1644
1645CE,1054/1645
1646CE,1056/1646
1647CE,1057/1647
1648CE,1058/1648
1649CE,1059/1649
1650CE,1060/1650
1651CE,1061/1651
1652CE,1062/1652
1653CE,1063/1653
1654CE,1064/1654
1655CE,1065/1655
1656CE,1066/1656
1657CE,1067/1657
1658CE,1068/1658
1659CE,1069/1659
1660CE,1070/1660
1661CE,1071/1661
1662CE,1072/1662
1663CE,1073/1663
1664CE,1074/1664
1665CE,1075/1665
1666CE,1076/1666
1667CE,1077/1667
1668CE,1078/1668
1669CE,1079/1669
1670CE,1080/1670
1671CE,1081/1671
1672CE,1082/1672
1673CE,1083/1673
1674CE,1084/1674
1675CE,1085/1675
1676CE,1086/1676
1677CE,1087/1677
1678CE,1089/1678
1679CE,1090/1679
1680CE,1091/1680
1681CE,1092/1681
1682CE,1093/1682
1683CE,1094/1683
1684CE,1095/1684
1685CE,1096/1685
1686CE,1097/1686
1687CE,1098/1687
1688CE,1099/1688
1689CE,1100/1689
1690CE,1101/1690
1691CE,1102/1691
1692CE,1103/1692
1693CE,1104/1693
1694CE,1105/1694
1695CE,1106/1695
1696CE,1107/1696
1697CE,1108/1697
1698CE,1109/1698
1699CE,1110/1699
1700CE,1111/1700
1701CE,1112/1701
1702CE,1113/1702
1703CE,1114/1703
1704CE,1115/1704
1705CE,1116/1705
1706CE,1117/1706
1707CE,1118/1707
1708CE,1119/1708
1709CE,1120/1709
1710CE,1122/1710
1711CE,1123/1711
1712CE,1124/1712
1713CE,1125/1713
1714CE,1126/1714
1715CE,1127/1715
1716CE,1128/1716
1717CE,1129/1717
1718CE,1130/1718
1719CE,1131/1719
1720CE,1132/1720
1721CE,1133/1721
1722CE,1134/1722
1723CE,1135/1723
1724CE,1136/1724
1725CE,1137/1725
1726CE,1138/1726
1727CE,1139/1727
1728CE,1140/1728
1729CE,1141/1729
1730CE,1142/1730
1731CE,1143/1731
1732CE,1144/1732
1733CE,1145/1733
1734CE,1146/1734
1735CE,1147/1735
1736CE,1148/1736
1737CE,1149/1737
1738CE,1150/1738
1739CE,1151/1739
1740CE,1152/1740
1741CE,1153/1741
1742CE,1155/1742
1743CE,1156/1743
1744CE,1157/1744
1745CE,1158/1745
1746CE,1159/1746
1747CE,1160/1747
1748CE,1161/1748
1749CE,1162/1749
1750CE,1163/1750
1751CE,1164/1751
1752CE,1165/1752
1753CE,1166/1753
1754CE,1167/1754
1755CE,1168/1755
1756CE,1169/1756
1757CE,1170/1757
1758CE,1171/1758
1759CE,1172/1759
1760CE,1173/1760
1761CE,1174/1761
1762CE,1175/1762
1763CE,1176/1763
1764CE,1177/1764
1765CE,1178/1765
1766CE,1179/1766
1767CE,1180/1767
1768CE,1181/1768
1769CE,1182/1769
1770CE,1183/1770
1771CE,1184/1771
1772CE,1185/1772
1773CE,1186/1773
1774CE,1188/1774
1775CE,1189/1775
1776CE,1190/1776
1777CE,1191/1777
1778CE,1192/1778
1779CE,1193/1779
1780CE,1194/1780
1781CE,1195/1781
1782CE,1196/1782
1783CE,1197/1783
1784CE,1198/1784
1785CE,1199/1785
1786CE,1200/1786
1787CE,1201/1787
1788CE,1202/1788
1789CE,1203/1789
1790CE,1204/1790
1791CE,1205/1791
1792CE,1206/1792
1793CE,1207/1793
1794CE,1208/1794
1795CE,1209/1795
1796CE,1210/1796
1797CE,1211/1797
1798CE,1212/1798
1799CE,1213/1799
1800CE,1214/1800
1801CE,1215/1801
1802CE,1216/1802
1803CE,1217/1803
1804CE,1218/1804
1805CE,1219/1805
1806CE,1221/1806
1807CE,1222/1807
1808CE,1223/1808
1809CE,1224/1809
1810CE,1225/1810
1811CE,1226/1811
1812CE,1227/1812
1813CE,1228/1813
1814CE,1229/1814
1815CE,1230/1815
1816CE,1231/1816
1817CE,1232/1817
1818CE,1233/1818
1819CE,1234/1819
1820CE,1235/1820
1821CE,1236/1821
1822CE,1237/1822
1823CE,1238/1823
1824CE,1239/1824
1825CE,1240/1825
1826CE,1241/1826
1827CE,1242/1827
1828CE,1243/1828
1829CE,1244/1829
1830CE,1245/1830
1831CE,1246/1831
1832CE,1247/1832
1833CE,1248/1833
1834CE,1249/1834
1835CE,1250/1835
1836CE,1251/1836
1837CE,1252/1837
1838CE,1254/1838
1839CE,1255/1839
1840CE,1256/1840
1841CE,1257/1841
1842CE,1258/1842
1843CE,1259/1843
1844CE,1260/1844
1845CE,1261/1845
1846CE,1262/1846
1847CE,1263/1847
1848CE,1264/1848
1849CE,1265/1849
1850CE,1266/1850
1851CE,1267/1851
1852CE,1268/1852
1853CE,1269/1853
1854CE,1270/1854
1855CE,1271/1855
1856CE,1272/1856
1857CE,1273/1857
1858CE,1274/1858
1859CE,1275/1859
1860CE,1276/1860
1861CE,1277/1861
1862CE,1278/1862
1863CE,1279/1863
1864CE,1280/1864
1865CE,1281/1865
1866CE,1282/1866
1867CE,1283/1867
1868CE,1284/1868
1869CE,1285/1869
1870CE,1287/1870
1871CE,1288/1871
1872CE,1289/1872
1873CE,1290/1873
1874CE,1291/1874
1875CE,1292/1875
1876CE,1293/1876
1877CE,1294/1877
1878CE,1295/1878
1879CE,1296/1879
1880CE,1297/1880
1881CE,1298/1881
1882CE,1299/1882
1883CE,1300/1883
1884CE,1301/1884
1885CE,1302/1885
1886CE,1303/1886
1887CE,1304/1887
1888CE,1305/1888
1889CE,1306/1889
1890CE,1307/1890
1891CE,1308/1891
1892CE,1309/1892
1893CE,1310/1893
1894CE,1311/1894
1895CE,1312/1895
1896CE,1313/1896
1897CE,1314/1897
1898CE,1315/1898
1899CE,1316/1899
1900CE,1317/1900
1901CE,1318/1901
1902CE,1320/1902
1903CE,1321/1903
1904CE,1322/1904
1905CE,1323/1905
1906CE,1324/1906
1907CE,1325/1907
1908CE,1326/1908
1909CE,1327/1909
1910CE,1328/1910
1911CE,1329/1911
1912CE,1330/1912
1913CE,1331/1913
1914CE,1332/1914
1915CE,1333/1915
1916CE,1334/1916
1917CE,1335/1917
1918CE,1336/1918
1919CE,1337/1919
1920CE,1338/1920
1921CE,1339/1921
1922CE,1340/1922
1923CE,1341/1923
1924CE,1342/1924
1925CE,1343/1925
1926CE,1344/1926
1927CE,1345/1927
1928CE,1346/1928
1929CE,1347/1929
1930CE,1348/1930
1931CE,1349/1931
1932CE,1350/1932
1933CE,1351/1933
1934CE,1353/1934
1935CE,1354/1935
1936CE,1355/1936
1937CE,1356/1937
1938CE,1357/1938
1939CE,1358/1939
1940CE,1359/1940
1941CE,1360/1941
1942CE,1361/1942
1943CE,1362/1943
1944CE,1363/1944
1945CE,1364/1945
1946CE,1365/1946
1947CE,1366/1947
1948CE,1367/1948
1949CE,1368/1949
1950CE,1369/1950
1951CE,1370/1951
1952CE,1371/1952
1953CE,1372/1953
1954CE,1373/1954
1955CE,1374/1955
1956CE,1375/1956
1957CE,1376/1957
1958CE,1377/1958
1959CE,1378/1959
1960CE,1379/1960
1961CE,1380/1961
1962CE,1381/1962
1963CE,1382/1963
1964CE,1383/1964
1965CE,1384/1965
1966CE,1386/1966
1967CE,1387/1967
1968CE,1388/1968
1969CE,1389/1969
1970CE,1390/1970
1971CE,1391/1971
1972CE,1392/1972
1973CE,1393/1973
1974CE,1394/1974
1975CE,1395/1975
1976CE,1396/1976
1977CE,1397/1977
1978CE,1398/1978
1979CE,1399/1979
1980CE,1400/1980
1981CE,1401/1981
1982CE,1402/1982
1983CE,1403/1983
1984CE,1404/1984
1985CE,1405/1985
1986CE,1406/1986
1987CE,1407/1987
1988CE,1408/1988
1989CE,1409/1989
1990CE,1410/1990
1991CE,1411/1991
1992CE,1412/1992
1993CE,1413/1993
1994CE,1414/1994
1995CE,1415/1995
1996CE,1416/1996
1997CE,1417/1997
1998CE,1419/1998
1999CE,1420/1999
2000CE,1421/2000
2001CE,1422/2001
2002CE,1423/2002
2003CE,1424/2003
2004CE,1425/2004
2005CE,1426/2005
2006CE,1427/2006
2007CE,1428/2007
2008CE,1429/2008
2009CE,1430/2009
2010CE,1431/2010
2011CE,1432/2011
2012CE,1433/2012
2013CE,1434/2013
2014CE,1435/2014
2015CE,1436/2015
2016CE,1437/2016
2017CE,1438/2017
2018CE,1439/2018
2019CE,1440/2019
2020CE,1441/2020
2021CE,1442/2021
2022CE,1443/2022
2023CE,1444/2023
2024CE,1445/2024
2025CE,1446/2025
2026CE,1447/2026
2027CE,1448/2027
2028CE,1449/2028
2029CE,1450/2029
2030CE,1452/2030
2031CE,1453/2031
2032CE,1454/2032
2033CE,1455/2033
2034CE,1456/2034
2035CE,1457/2035
2036CE,1458/2036
2037CE,1459/2037
2038CE,1460/2038
2039CE,1461/2039
2040CE,1462/2040
2041CE,1463/2041
2042CE,1464/2042
2043CE,1465/2043
2044CE,1466/2044
2045CE,1467/2045
2046CE,1468/2046
2047CE,1469/2047
2048CE,1470/2048
2049CE,1471/2049
